1 1 1 , 200 100 200 , 30 30 30 , 
-34.278 -33.4512 -41.1111 , 223.268 111.172 223.996 , 193.097 176.792 39.1475 , 
-34.461 -33.6287 -41.317 , 223.384 111.223 224.124 , 193.974 177.66 39.1322 , 
-34.6441 -33.8062 -41.523 , 223.499 111.273 224.251 , 194.852 178.529 39.1154 , 
-34.8272 -33.9837 -41.729 , 223.614 111.324 224.379 , 195.729 179.399 39.0973 , 
-35.0103 -34.1613 -41.935 , 223.73 111.374 224.507 , 196.607 180.27 39.0777 , 
-35.1935 -34.3389 -42.1411 , 223.845 111.425 224.635 , 197.485 181.141 39.0567 , 
-35.3767 -34.5166 -42.3471 , 223.96 111.475 224.764 , 198.364 182.014 39.0344 , 
-35.56 -34.6943 -42.5532 , 224.076 111.526 224.892 , 199.242 182.888 39.0106 , 
-35.7434 -34.8721 -42.7593 , 224.191 111.576 225.021 , 200.121 183.763 38.9855 , 
-35.9267 -35.0499 -42.9654 , 224.307 111.626 225.15 , 201 184.638 38.959 , 
-36.1102 -35.2277 -43.1716 , 224.422 111.676 225.278 , 201.88 185.515 38.9311 , 
-36.2936 -35.4056 -43.3777 , 224.538 111.726 225.408 , 202.759 186.393 38.9019 , 
-36.4772 -35.5835 -43.5839 , 224.653 111.776 225.537 , 203.639 187.272 38.8712 , 
-36.6607 -35.7614 -43.79 , 224.769 111.826 225.666 , 204.519 188.151 38.8393 , 
-36.8443 -35.9394 -43.9962 , 224.884 111.876 225.796 , 205.399 189.032 38.8059 , 
-37.028 -36.1175 -44.2025 , 225 111.926 225.925 , 206.28 189.914 38.7712 , 
-37.2117 -36.2956 -44.4087 , 225.116 111.976 226.055 , 207.16 190.797 38.7352 , 
-37.3954 -36.4737 -44.6149 , 225.231 112.026 226.185 , 208.041 191.68 38.6978 , 
-37.5792 -36.6518 -44.8212 , 225.347 112.075 226.315 , 208.923 192.565 38.6591 , 
-37.763 -36.83 -45.0275 , 225.463 112.125 226.446 , 209.804 193.451 38.6191 , 
-37.9468 -37.0083 -45.2338 , 225.578 112.175 226.576 , 210.686 194.337 38.5777 , 
-38.1308 -37.1865 -45.4401 , 225.694 112.224 226.707 , 211.568 195.225 38.5351 , 
-38.3147 -37.3648 -45.6464 , 225.81 112.273 226.837 , 212.451 196.114 38.4911 , 
-38.4987 -37.5432 -45.8528 , 225.925 112.323 226.968 , 213.333 197.003 38.4459 , 
-38.6827 -37.7216 -46.0591 , 226.041 112.372 227.099 , 214.216 197.894 38.3993 , 
-38.8668 -37.9 -46.2655 , 226.157 112.421 227.23 , 215.099 198.786 38.3514 , 
-39.0509 -38.0784 -46.4719 , 226.273 112.471 227.362 , 215.983 199.678 38.3023 , 
-39.235 -38.2569 -46.6783 , 226.388 112.52 227.493 , 216.867 200.572 38.2519 , 
-39.4192 -38.4354 -46.8847 , 226.504 112.569 227.625 , 217.751 201.467 38.2003 , 
-39.6034 -38.614 -47.0911 , 226.62 112.618 227.756 , 218.635 202.362 38.1473 , 
-39.7877 -38.7926 -47.2976 , 226.736 112.667 227.888 , 219.52 203.259 38.0931 , 
-39.972 -38.9712 -47.5041 , 226.851 112.716 228.02 , 220.405 204.156 38.0377 , 
